SchoolName,Area,Type,Affiliations,Parent Volunteer,CCA Sports,CCA Arts,CCA Clubs,CCA Uniformed Groups
Raffles Girls’ Primary School - Girls only,Bukit Timah,Girls only,-,"60h, requires interview, apply in Dec","Badminton, Basketball, Softball, Table Tennis, Tennis, Rhythmic Gymnastics","Choir, String Ensemble, Chinese Dance, English Drama, Concert Band","Art and Crafts, International Chess","Girls’ Brigade, Girl Guides (Brownies)"
Gan Eng Seng Primary School,Bukit Merah,Mixed-gender,-,,"Badminton, Basketball, Sepaktakraw, Football, Floorball","Choir, Brass Band, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, Green Club, Infocomm Technology (Media Production)","Boys’ Brigade, Scouts, Girl Guides (Brownies)"
Tampines North Primary School,Tampines,Mixed-gender,-,,"Badminton, Basketball, Football, Wushu, Tchoukball","Angklung/Kulintang Ensemble, Choir, Dance - International, Indian Dance, Malay Dance","Art and Crafts, Infocomm Technology (Media Production)","Scouts, Girl Guides (Brownies)"
Wellington Primary School,Sembawang,Mixed-gender,-,,"Badminton, Football, Table Tennis, Wushu","Choir, Guzheng Ensemble, Modern Dance, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, Infocomm Technology (Media Production)",Scouts
Yio Chu Kang Primary School,Hougang,Mixed-gender,-,,"Football, Track and Field, Volleyball","Angklung/Kulintang Ensemble, Choir, Handbell Ensemble, Chinese Dance, Indian Dance, Malay Dance, Modular CCA (Vpa)",Art and Crafts,"Scouts, Girl Guides (Brownies)"
Elias Park Primary School,Pasir Ris,Mixed-gender,-,,"Table Tennis, Volleyball","Chinese Orchestra, Choir, Modern Dance","Infocomm Technology (Computing), Food and Consumer Education",Scouts
Rulang Primary School,Jurong West,Mixed-gender,-,Email the school,"Badminton, Basketball, Softball, Wushu, Volleyball, Rope Skipping","Chinese Orchestra, Choir, Chinese Dance, Malay Dance","Art and Crafts, Robotics, Environmental Science, Infocomm Technology (Media Production)","Scouts, Girl Guides (Brownies)"
Waterway Primary School,Punggol,Mixed-gender,-,,"Basketball, Football","Choir, Brass Band, Modern Dance","Art and Crafts, International Chess, Robotics, Infocomm Technology (Media Production)",Scouts
Bukit Panjang Primary School,Bukit Panjang,Mixed-gender,-,,"Badminton, Basketball, Hockey, Football, Table Tennis, Wushu","Choir, Modern Dance, Chinese Dance, Indian Dance, Malay Dance, English Drama, Concert Band, Chinese Drums","Art and Crafts, Chinese Calligraphy and Brush Painting, Infocomm Technology (Computing), Robotics, Environmental Science","Red Cross Youth, Scouts"
"St. Stephen’s School - Boys only, Affiliated",Bedok,"Gov-aided, Boys only","St. Joseph’s Institution, St. Patrick’s School",,"Badminton, Basketball, Cricket, Football, Swimming, Track and Field, Floorball","Brass Band, Modern Dance","Art and Crafts, English Language, Drama and Debating, Robotics, Infocomm Technology (Media Production), Physical Science",Scouts
Northoaks Primary School,Sembawang,Mixed-gender,-,,,,,
Gongshang Primary School,Tampines,Mixed-gender,-,40h,"Badminton, Basketball, Rugby, Track and Field, Wushu, Modular CCA (Sports)","String Ensemble, Handbell Ensemble, Chinese Dance, Malay Dance","Art and Crafts, Infocomm Technology (Computing), Media Resource Library, Environmental Science, Broadcasting, Journalism",Scouts
West View Primary School,Bukit Panjang,Mixed-gender,-,,"Basketball, Rugby, Floorball","Brass Band, Chinese Dance, Malay Dance","Art and Crafts, Chinese Culture and Language",Scouts
Canossa Catholic Primary School - Affiliated,Geylang,"Gov-aided, Mixed-gender",St. Anthony’s Canossian Secondary School,,"Track and Field, Taekwondo, Modular CCA (Sports)","Choir, Guitar Ensemble, Modern Dance","Art and Crafts, Infocomm Technology (Media Production)","Scouts, Girl Guides (Brownies)"
